arm,seed,games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
R0,202,2646,13,8487,-0.6282983675233796,-0.014440698810884708,0.024274256768614638,1.2633313119579825,0.007723531767475602,0.1009968142447657,0.41570302474138365,0.8576645050602199,0.0,0.0,0.00802,0.0,0.0,16.4,13.9,5.64
R0,202,2826,14,8517,-0.6811445356123074,-0.013984229225399323,0.029798029705437264,1.2786430459145122,0.009425300336141099,0.1216880832861991,0.42715099386466554,0.748425453576891,0.0,0.0,0.0078832,0.0,0.0,16.2,14.7,5.81
R0,202,2997,15,8195,-0.571703702300726,0.007711392571400737,0.03270429701659193,1.2403939853564028,0.009621827515728832,0.12261603860294118,0.5534005488504706,0.8349830161836449,0.0,0.0,0.0077392,0.0,0.0,16.0,13.6,5.79
R0,202,3159,16,8227,-0.6441588730726578,-0.023241973103836317,0.026451261615924274,1.285427288122631,0.010847435756048627,0.1382213432247899,0.49605159873550697,0.8130363194102068,0.0,0.0,0.0076024000000000005,0.0,0.0,15.6,12.6,5.74
R0,202,3330,17,8261,-0.6067837287559079,-0.019278631919399783,0.02438798777109552,1.3083514405608634,0.012738729232880646,0.1592283907448849,0.540446969894754,0.8547737639334075,0.0,0.0,0.0074728,0.0,0.0,15.5,12.1,6.2
R0,202,3492,18,8212,-0.6546339378523091,-0.014557396753600587,0.025081014759594004,1.2998564871886822,0.012304446125795601,0.14680606617647055,0.5777576012522448,0.8393574080616464,0.0,0.0,0.0073360000000000005,0.0,0.0,15.0,12.5,5.9
R0,202,3663,19,8603,-0.615405599849909,-0.021153478254897634,0.02616074953488977,1.2883407688300752,0.009875303044084374,0.1292094078735509,0.5098834237627747,0.8639317011201252,0.0,0.0,0.0072064,0.0,0.0,16.1,13.2,5.83
R0,202,3843,20,8217,-0.6701292966171117,-0.02648970109108605,0.024693327070178912,1.276118916414179,0.01202140668211192,0.1473196231617647,0.5699241056798603,0.8321847417185506,0.0,0.0,0.0070696000000000005,0.0,0.0,16.0,11.4,6.57
R0,202,4032,21,8384,-0.6652589073403797,-0.019131195094893697,0.030875251935269084,1.2622588411810363,0.01304296073397482,0.16330614276960786,0.538975132330876,0.8136551185356837,0.0,0.0,0.0069256000000000005,0.0,0.0,17.1,12.8,6.3
R0,202,4212,22,8319,-0.6634973956560988,-0.01982908763219842,0.02788862597939988,1.2447976395500113,0.012873748440588284,0.15816784390921723,0.5457083821634553,0.826002234538688,0.0,0.0,0.0067744,0.0,0.0,15.9,12.4,6.37
